intagncy_agency,intagncy_name,intagncy_year,intagncy_month,intagncy_day,intagncy_lon,intagncy_lat,intagncy_area_ha,intagncy_forest_area_ha,MTBS_name,MTBS_year,MTBS_month,MTBS_day,MTBS_lon,MTBS_lat,MTBS_area_ha,MTBS_forest_area_ha,MTBS_filename,final_year,final_month,final_day,final_lon,final_lat,final_area_ha,final_forest_area_ha
"CalFire","CREST FIRE",1984,1,27,-118.1874,34.226,245.15,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,1,27,-118.1874,34.226,245.15,0
"CalFire","RATTLESNAKE",1984,3,20,-117.4109,34.016,125.91,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,3,20,-117.4109,34.016,125.91,0
"BIA","POLAC AIR",1984,3,24,-110.209,35.7867,161.87,83.85,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,3,24,-110.209,35.7867,161.87,83.85
"BLM","STODDARD",1984,3,24,-117.1009,34.6,101.17,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,3,24,-117.1009,34.6,101.17,0
"BLM","GOAT",1984,4,21,-116.9175,34.6667,242.81,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,4,21,-116.9175,34.6667,242.81,0
"CalFire","UNKNOWN",1984,4,22,-117.852,34.2721,114.44,2.18,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,4,22,-117.852,34.2721,114.44,2.18
"CalFire","ASSIST #6",1984,4,23,-117.1065,32.9241,145.93,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,4,23,-117.1065,32.9241,145.93,0
"BIA","M-MOUNTAIN",1984,4,27,-112.0407,33.165,161.87,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,4,27,-112.0407,33.165,161.87,0
"BIA","NINE DAYS",1984,5,4,-112.0057,33.165,485.62,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,4,-112.0057,33.165,485.62,0
"CalFire","QUARRY FIRE",1984,5,6,-118.3525,34.4367,158.66,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,6,-118.3525,34.4367,158.66,0
"CalFire","LUMBER FIRE",1984,5,7,-118.4254,34.4377,201.97,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,7,-118.4254,34.4377,201.97,0
"CalFire","UNKNOWN",1984,5,8,-118.3081,35.7522,382.48,150.95,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,8,-118.3081,35.7522,382.48,150.95
"BLM","LOUSY",1984,5,9,-119.1493,37.9499,242.81,232.02,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,9,-119.1493,37.9499,242.81,232.02
"FS","UNKNOWN",1984,5,9,-119.0592,37.85,269.52,99.21,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,9,-119.0592,37.85,269.52,99.21
"BLM","POWDER",1984,5,14,-105.3172,46.8,283.28,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,14,-105.3172,46.8,283.28,0
"BLM","NASH FIRE",1984,5,14,-105.4839,38.7,404.69,320.78,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,14,-105.4839,38.7,404.69,320.78
"BLM","WHITE TOCK",1984,5,14,-114.1341,38.2833,161.87,151.22,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,14,-114.1341,38.2833,161.87,151.22
"BLM","JEEP",1984,5,14,-110.8673,33.2167,201.13,16.4,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,14,-110.8673,33.2167,201.13,16.4
"FS","DEAD WILMA",1984,5,19,-121.2544,43.8997,234.72,234.56,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,19,-121.2544,43.8997,234.72,234.56
"CalFire","UNKNOWN",1984,5,21,-122.8305,40.0985,404.1,375.22,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,21,-122.8305,40.0985,404.1,375.22
"CalFire","BLM #1",1984,5,21,-119.6698,35.0413,222.28,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,21,-119.6698,35.0413,222.28,0
"CalFire","RELIZ CANYON",1984,5,22,-121.2903,36.2698,334.28,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,22,-121.2903,36.2698,334.28,0
"BLM","DEEP CREEK",1984,5,22,-117.8842,34.3667,113.31,85.55,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,22,-117.8842,34.3667,113.31,85.55
"BIA","FINGERPOIN",1984,5,23,-110.2048,35.7847,121.41,40.68,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,23,-110.2048,35.7847,121.41,40.68
"CalFire","UNKNOWN",1984,5,23,-118.5028,35.4941,108.88,90.64,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,23,-118.5028,35.4941,108.88,90.64
"CalFire","SHERMAN #1",1984,5,24,-120.5402,36.203,191.59,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,24,-120.5402,36.203,191.59,0
"CalFire","CAT",1984,5,25,-120.2748,34.7563,409.34,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,25,-120.2748,34.7563,409.34,0
"BLM","BURRO",1984,5,27,-110.9512,33.1348,180.09,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,27,-110.9512,33.1348,180.09,0
"BLM","BEDELL",1984,5,28,-119.8677,39.8832,830.01,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,28,-119.8677,39.8832,830.01,0
"BLM","BEDELL 2",1984,5,28,-119.8344,39.8499,372.72,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,28,-119.8344,39.8499,372.72,0
"BLM","SPAN SPR",1984,5,29,-119.6677,39.6499,167.14,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,29,-119.6677,39.6499,167.14,0
"BLM","KATE PK",1984,5,29,-119.6177,39.2666,329.41,8.76,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,29,-119.6177,39.2666,329.41,8.76
"NPS","SALINE",1984,5,29,-117.1267,36.8066,2387.65,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,29,-117.1267,36.8066,2387.65,0
"CalFire","USFS #13",1984,5,29,-118.2442,35.7951,655.31,648.94,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,29,-118.2442,35.7951,655.31,648.94
"CalFire","UNKNOWN",1984,5,29,-118.2567,35.7111,195.15,40.48,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,29,-118.2567,35.7111,195.15,40.48
"CalFire","LOS FLORES",1984,5,30,-117.3363,34.3147,116.71,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,30,-117.3363,34.3147,116.71,0
"NPS","KRUMNER",1984,5,30,-118.7176,34.1667,242.81,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,30,-118.7176,34.1667,242.81,0
"BLM","BURNT",1984,5,31,-114.7508,37.8,141.64,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,31,-114.7508,37.8,141.64,0
"CalFire","ALISOS",1984,5,31,-120.1584,34.7567,119.85,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,31,-120.1584,34.7567,119.85,0
"CalFire","UNKNOWN",1984,6,6,-119.8419,38.9803,127.74,32.32,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,6,-119.8419,38.9803,127.74,32.32
"CalFire","LONE OAK RD.#2",1984,6,12,-121.0488,36.2008,349.49,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,12,-121.0488,36.2008,349.49,0
"BLM","MILLER IS",1984,6,16,-120.9012,45.6665,356.12,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,16,-120.9012,45.6665,356.12,0
"BIA","UNKNOWN",1984,6,16,-110.6873,33.845,264.26,70.87,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,16,-110.6873,33.845,264.26,70.87
"NPS","WHITE HORSE",1984,6,17,-117.3848,36.4766,337.1,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,17,-117.3848,36.4766,337.1,0
"BLM","ROCKYREACH",1984,6,18,-120.3679,47.4832,198.3,2.8,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,18,-120.3679,47.4832,198.3,2.8
"BLM","SKULL VLY",1984,6,18,-112.6675,40.5833,203.56,8.33,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,18,-112.6675,40.5833,203.56,8.33
"BLM","FILIPPINI",1984,6,19,-116.7176,40.2166,218.53,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,19,-116.7176,40.2166,218.53,0
"BLM","COTTONWOOD",1984,6,19,-109.234,39.0833,263.05,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,19,-109.234,39.0833,263.05,0
"BIA","COLTHARP",1984,6,20,-109.984,40.4816,311.2,83.83,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,20,-109.984,40.4816,311.2,83.83
"BLM","CHAMPLIN 1",1984,6,20,-112.2008,39.7999,242.81,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,20,-112.2008,39.7999,242.81,0
"BLM","KNOWLES CY",1984,6,21,-108.934,39.0667,131.52,118.98,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,21,-108.934,39.0667,131.52,118.98
"BLM","MINE COVE",1984,6,21,-113.7175,37.7,121.41,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,21,-113.7175,37.7,121.41,0
"BIA","MISSING",1984,6,21,-111.984,33.1201,445.15,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,21,-111.984,33.1201,445.15,0
"BLM","NO JOKE",1984,6,22,-108.9507,40.8666,150.54,24.41,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,22,-108.9507,40.8666,150.54,24.41
"BLM","SAND PASS",1984,6,23,-117.7677,41.0832,404.69,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,23,-117.7677,41.0832,404.69,0
"BLM","WINDMILL",1984,6,23,-116.7509,40.1666,291.37,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,23,-116.7509,40.1666,291.37,0
"BLM","COYOTE",1984,6,23,-113.7508,35.75,125.45,11.39,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,23,-113.7508,35.75,125.45,11.39
"BIA","BIA 5",1984,6,24,-119.5677,39.9166,121.41,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,24,-119.5677,39.9166,121.41,0
"BLM","TRACY CLRK",1984,6,24,-119.4843,39.5666,343.98,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,24,-119.4843,39.5666,343.98,0
"BIA","TWO FIFTY",1984,6,24,-111.8507,33.1351,101.17,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,24,-111.8507,33.1351,101.17,0
"BLM","SPRUCESIDE",1984,6,25,-114.6342,40.7833,113.31,4.8,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,25,-114.6342,40.7833,113.31,4.8
"BLM","GADWALL",1984,6,25,-112.8008,40.0333,101.17,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,25,-112.8008,40.0333,101.17,0
"BLM","FAIRVW PK",1984,6,25,-118.1843,39.1999,200.32,4.47,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,25,-118.1843,39.1999,200.32,4.47
"BLM","COYOTE SPR",1984,6,25,-113.8341,37.1,283.28,169.44,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,25,-113.8341,37.1,283.28,169.44
"BLM","SCHMIDT",1984,6,27,-121.1677,36.5833,337.91,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,27,-121.1677,36.5833,337.91,0
"NPS","BOUNDARY",1984,6,28,-108.8977,40.7541,280.04,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,28,-108.8977,40.7541,280.04,0
"BLM","EAGLE",1984,6,28,-112.3675,40.1666,259,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,28,-112.3675,40.1666,259,0
"BLM","HAWK",1984,6,28,-112.3675,40.1499,259,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,28,-112.3675,40.1499,259,0
"FS","UNKNOWN",1984,6,28,-117.0758,34.345,137.59,61.86,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,28,-117.0758,34.345,137.59,61.86
"BLM","RRMP 410",1984,6,29,-115.8099,43.1982,135.57,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,29,-115.8099,43.1982,135.57,0
"CalFire","CURTIS",1984,6,29,-121.3761,38.8315,354.75,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,29,-121.3761,38.8315,354.75,0
"BLM","INDIAN CK",1984,6,30,-107.634,47.4333,121.41,0.02,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,30,-107.634,47.4333,121.41,0.02
"BIA","GRAVYTRAIN",1984,6,30,-112.1607,33.255,1295,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,6,30,-112.1607,33.255,1295,0
"NPS","POWERS CO-",1984,7,2,-121.8344,41.8332,196.27,132.13,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,2,-121.8344,41.8332,196.27,132.13
"BLM","REDROCK",1984,7,2,-117.0343,40.2999,129.5,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,2,-117.0343,40.2999,129.5,0
"CalFire","UNKNOWN",1984,7,3,-118.3734,34.6692,248.67,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,3,-118.3734,34.6692,248.67,0
"BIA","FIVE MILE",1984,7,3,-110.1473,33.2584,121.41,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,3,-110.1473,33.2584,121.41,0
"BIA","E-OLBERG",1984,7,3,-111.634,33.0617,485.62,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,3,-111.634,33.0617,485.62,0
"BLM","EUREKA",1984,7,4,-115.9842,39.4833,242.81,143.62,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,4,-115.9842,39.4833,242.81,143.62
"BLM","HOLIDAY",1984,7,4,-112.7508,39.0833,546.33,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,4,-112.7508,39.0833,546.33,0
"CalFire","CANTUA CREEK",1984,7,4,-120.4172,36.432,189.25,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,4,-120.4172,36.432,189.25,0
"BLM","PASTURE",1984,7,5,-113.9175,42.1666,186.16,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,5,-113.9175,42.1666,186.16,0
"CalFire","WELLS",1984,7,5,-118.8806,36.3358,207.43,124.58,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,5,-118.8806,36.3358,207.43,124.58
"CalFire","KEYS",1984,7,5,-116.202,33.9558,109.59,19.75,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,5,-116.202,33.9558,109.59,19.75
"BIA","BURNTSNAKE",1984,7,5,-111.8174,33.1934,356.12,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,5,-111.8174,33.1934,356.12,0
"BLM","RED MTN",1984,7,6,-119.4845,46.2832,267.09,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,6,-119.4845,46.2832,267.09,0
"BLM","WOOD GULCH",1984,7,6,-116.3611,43.7443,194.25,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,6,-116.3611,43.7443,194.25,0
"BLM","SENTER NE3",1984,7,6,-113.8509,42.8999,121.41,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,6,-113.8509,42.8999,121.41,0
"BLM","YAHOO CK",1984,7,6,-114.9959,42.6299,121.41,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,6,-114.9959,42.6299,121.41,0
"BLM","SCAUP",1984,7,6,-114.0008,41.4499,141.64,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,6,-114.0008,41.4499,141.64,0
"CalFire","UNKNOWN",1984,7,6,-119.7845,39.1216,112.07,85.44,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,6,-119.7845,39.1216,112.07,85.44
"BLM","FLAMES",1984,7,6,-113.2508,37.6,202.34,159.73,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,6,-113.2508,37.6,202.34,159.73
"BLM","GRANITE 2",1984,7,6,-115.6675,34.8333,254.95,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,6,-115.6675,34.8333,254.95,0
"BLM","BAKEOVEN",1984,7,7,-121.0678,45.1832,242.81,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,7,-121.0678,45.1832,242.81,0
"BLM","GROUCH DRN",1984,7,7,-116.5921,43.3612,195.46,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,7,-116.5921,43.3612,195.46,0
"BLM","OUT OF GAS",1984,7,7,-109.1173,39.1666,202.34,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,7,-109.1173,39.1666,202.34,0
"CalFire","UNKNOWN",1984,7,7,-118.9248,34.8139,234.53,39.41,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,7,-118.9248,34.8139,234.53,39.41
"CalFire","WHITE WATER",1984,7,7,-116.682,34.0143,141.84,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,7,-116.682,34.0143,141.84,0
"FS","GREEN BUTTE",1984,7,8,-121.4342,44.5656,194.25,135.56,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,8,-121.4342,44.5656,194.25,135.56
"BLM","RAVEN",1984,7,8,-117.2676,39.8333,115.34,1.21,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,8,-117.2676,39.8333,115.34,1.21
"FS","COAL",1984,7,8,-117.6869,33.8539,222.58,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,8,-117.6869,33.8539,222.58,0
"BLM","BLACK PNT",1984,7,9,-112.6827,38.7983,242.81,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,9,-112.6827,38.7983,242.81,0
"FWS","COCKEYED",1984,7,9,-115.9054,37.1237,526.5,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,9,-115.9054,37.1237,526.5,0
"CalFire","580/VIEIRA",1984,7,10,-121.4933,37.6729,326.83,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,10,-121.4933,37.6729,326.83,0
"CalFire","NICE",1984,7,11,-122.7121,39.1288,193.37,56.03,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,11,-122.7121,39.1288,193.37,56.03
"BLM","LANDUSKY",1984,7,12,-108.634,47.8667,315.66,0.04,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,12,-108.634,47.8667,315.66,0.04
"BLM","MAGPIE",1984,7,12,-112.6508,40.1833,123.83,2.47,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,12,-112.6508,40.1833,123.83,2.47
"BLM","RED HILLS",1984,7,12,-113.0675,38.8166,161.87,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,12,-113.0675,38.8166,161.87,0
"BLM","GRAND",1984,7,12,-113.8008,36.45,101.17,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,12,-113.8008,36.45,101.17,0
"BLM","DESERT",1984,7,13,-116.5676,41.7666,169.97,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,13,-116.5676,41.7666,169.97,0
"CalFire","SHEPARD",1984,7,13,-118.9002,36.4311,292.89,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,13,-118.9002,36.4311,292.89,0
"CalFire","VISTA FIRE",1984,7,13,-118.5503,34.4368,151.49,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,13,-118.5503,34.4368,151.49,0
"NPS","WESTLAKE",1984,7,13,-118.8509,34.1333,131.52,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,13,-118.8509,34.1333,131.52,0
"BLM","PRIVATE",1984,7,15,-109.1174,47.1333,121.41,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,15,-109.1174,47.1333,121.41,0
"BIA","SUNFLOWER",1984,7,15,-112.179,33.27,485.62,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,15,-112.179,33.27,485.62,0
"BLM","CHASE FIRE",1984,7,16,-107.9173,46.1666,101.17,5.47,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,16,-107.9173,46.1666,101.17,5.47
"FS","BADGER",1984,7,18,-121.3958,40.5303,797.64,797.11,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,18,-121.3958,40.5303,797.64,797.11
"BLM","LAWN",1984,7,19,-118.7844,43.4665,259,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,19,-118.7844,43.4665,259,0
"BLM","TAB HILL",1984,7,20,-112.5508,38.9333,283.28,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,20,-112.5508,38.9333,283.28,0
"BLM","POAL",1984,7,22,-117.4176,35.0833,303.51,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,22,-117.4176,35.0833,303.51,0
"BLM","COVEY RDG",1984,7,25,-121.0678,44.2165,141.64,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,25,-121.0678,44.2165,141.64,0
"BLM","IL RANCH",1984,7,25,-116.4343,41.6332,354.1,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,25,-116.4343,41.6332,354.1,0
"BLM","PEKO",1984,7,25,-115.4842,41.1666,161.87,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,25,-115.4842,41.1666,161.87,0
"BLM","BOX ELDER",1984,7,26,-109.1341,47.3,222.58,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,26,-109.1341,47.3,222.58,0
"BLM","LESLIE GL",1984,7,26,-117.3343,43.2999,121.41,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,26,-117.3343,43.2999,121.41,0
"BLM","DOMINGO",1984,7,26,-118.7343,42.1999,157.83,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,26,-118.7343,42.1999,157.83,0
"BLM","PARADISE",1984,7,26,-117.6843,41.3166,202.34,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,26,-117.6843,41.3166,202.34,0
"BIA","BIA 15",1984,7,26,-119.6844,40.0332,101.17,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,26,-119.6844,40.0332,101.17,0
"BLM","CANYON",1984,7,26,-119.101,38.1166,149.73,45.24,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,26,-119.101,38.1166,149.73,45.24
"FWS","WHITE BLUF",1984,7,28,-119.5,46.75,2023.43,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,28,-119.5,46.75,2023.43,0
"BLM","HYDRA",1984,7,29,-108.6007,40.6166,131.52,23.52,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,29,-108.6007,40.6166,131.52,23.52
"BLM","JAKES CRK",1984,7,30,-117.0843,41.1832,242.81,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,30,-117.0843,41.1832,242.81,0
"CalFire","BECKWITH (TAHOE NF)",1984,7,30,-120.1183,39.7875,139.13,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,7,30,-120.1183,39.7875,139.13,0
"CalFire","HURRICANE",1984,8,1,-119.7917,34.7931,265.93,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,8,1,-119.7917,34.7931,265.93,0
"BLM","NO SKULL",1984,8,3,-117.7391,43.4399,307.56,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,8,3,-117.7391,43.4399,307.56,0
"BLM","FOURMILE",1984,8,4,-116.3843,41.6999,1017.79,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,8,4,-116.3843,41.6999,1017.79,0
"BLM","J. ROSS",1984,8,4,-115.9842,40.6999,107.24,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,8,4,-115.9842,40.6999,107.24,0
"FWS","CACTUS CK",1984,8,5,-108.5167,47.45,938.06,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,8,5,-108.5167,47.45,938.06,0
